fdr_q,spec,transaction_cost_bps,avg_net_sharpe,median_net_sharpe,avg_net_total_return,avg_max_drawdown,avg_num_trades,folds
0.1,kalman_base,0,0.8673752599991663,0.6481620950278083,0.004266638898883663,-0.009735252465607505,9.0,21
0.1,kalman_filter,0,0.7871073152459945,0.4731787669997064,0.005729955200985277,-0.004430253224107717,4.238095238095238,21
0.1,kalman_full,0,0.7884144667073222,0.4762486767304258,0.002924832727845341,-0.002273220242984576,4.238095238095238,21
0.1,static_ols,0,0.42810691174738813,-0.039123957940166224,0.004866400219992454,-0.02108281634530975,3.619047619047619,21
0.1,kalman_base,5,0.42156248298928184,0.44407921698987196,0.0016074187114199104,-0.010737541584406186,9.0,21
0.1,kalman_filter,5,0.4897209819937153,0.31798675856472847,0.004412692751950114,-0.004868333958224803,4.238095238095238,21
0.1,kalman_full,5,0.49093999489720164,0.3213853223301807,0.0022584288714240864,-0.0024951674323998425,4.238095238095238,21
0.1,static_ols,5,0.35404632473213754,-0.09579335129816977,0.003787128487603943,-0.02127419527496844,3.619047619047619,21
0.1,kalman_base,10,0.03746053897993442,0.11362705963063785,-0.001048477479376171,-0.011873488034503452,9.0,21
0.1,kalman_filter,10,0.21913655789477365,0.13368482050562808,0.0030654585106665196,-0.00539667716011923,4.238095238095238,21
0.1,kalman_full,10,0.22024508592263642,0.1338882572925479,0.0015764558257347985,-0.00276179135865002,4.238095238095238,21
0.1,static_ols,10,0.27930434182961295,-0.152415129136848,0.002708996835306327,-0.02148341490716602,3.619047619047619,21
0.1,kalman_base,25,-1.028569736152067,-0.548510551325273,-0.008936687359262178,-0.016166583564183816,9.0,21
0.1,kalman_filter,25,-0.45815701522977503,-0.4309866955835969,-0.001041892170885752,-0.00723383075347733,4.238095238095238,21
0.1,kalman_full,25,-0.45742000115690395,-0.4311971324183427,-0.0005070341770605502,-0.003693477012343682,4.238095238095238,21
0.1,static_ols,25,0.05197049915814166,-0.3215723807696259,-0.0005186201209392097,-0.022351348564336432,3.619047619047619,21
0.2,kalman_base,0,1.02825061239175,0.9763076784992551,0.0063424033618279755,-0.006946465572081234,10.65,20
0.2,kalman_filter,0,0.9889664606975823,0.8819777179322184,0.008055631174533057,-0.004525480565400359,5.2,20
0.2,kalman_full,0,0.9909517028672552,0.8815104225994236,0.00408710639362952,-0.0022924773634133257,5.2,20
0.2,static_ols,0,0.5855876985026656,0.3486971402588734,0.009304257881809792,-0.020600673918167566,4.7,20
0.2,kalman_base,5,0.5456321572622087,0.4892497464486414,0.0034849398349562632,-0.00804401645084395,10.65,20
0.2,kalman_filter,5,0.680417880690481,0.6292234377133608,0.006359871216737439,-0.005032256274264224,5.2,20
0.2,kalman_full,5,0.6821138367280017,0.6281028741577447,0.003231804099351415,-0.002549715118602314,5.2,20
0.2,static_ols,5,0.5100770280410787,0.2386055026960914,0.007979426009664892,-0.02092369102784252,4.7,20
0.2,kalman_base,10,0.1251658329646742,0.2029333053436103,0.0006217271965931026,-0.009310985423221646,10.65,20
0.2,kalman_filter,10,0.3861094884150138,0.3739477397504762,0.004641393215948414,-0.005639395971216521,5.2,20
0.2,kalman_full,10,0.38746554571980585,0.3721587888753888,0.002364413015819278,-0.0028566807892886513,5.2,20
0.2,static_ols,10,0.433883909363163,0.1282143811706873,0.0066562014716446405,-0.021265433839658954,4.7,20
0.2,kalman_base,25,-1.08266318197605,-0.8075375239233548,-0.007901213031530862,-0.01414706018186035,10.65,20
0.2,kalman_filter,25,-0.4118971556185208,-0.4201422363566555,-0.0005368919606120349,-0.007883154421263661,5.2,20
0.2,kalman_full,25,-0.4117492218419528,-0.42541762265871186,-0.00025496314908266535,-0.003995229722636934,5.2,20
0.2,static_ols,25,0.20215637386126065,-0.20254178059709124,0.002696115160617346,-0.02255325358134671,4.7,20
