fold,median_Q,mean_Q,median_R,mean_R,n_pairs
fold_01_202007_202012,0.0004952315146479811,0.00048699925261002996,2.594090195349774e-05,2.7631537469886875e-05,13
fold_02_202010_202103,0.0005155334615924071,0.0005302487798505638,4.147670735895491e-05,4.016383682079712e-05,20
fold_03_202101_202106,0.0005248602900998997,0.0005351652621665502,4.461078408710055e-05,4.44213829320549e-05,20
fold_04_202104_202109,0.0005275287790470525,0.0005490771095720618,4.6875692472496344e-05,4.9738009466164286e-05,20
fold_05_202107_202112,0.0005090310017557859,0.0005037279274849359,5.3798817471538706e-05,5.075084875659708e-05,20
fold_06_202110_202203,0.0005072432767732446,0.0005151862848544962,4.37091774564638e-05,3.952220742073686e-05,20
fold_07_202201_202206,0.0005404463931142133,0.0005468505120938456,5.061160713664803e-05,5.880717176834528e-05,20
fold_08_202204_202209,0.0005131427836008251,0.0005146364357455716,4.474863562449421e-05,4.36109709949331e-05,20
fold_09_202207_202212,0.0005121095549696665,0.0005361325231616447,3.593292497071323e-05,4.203118100190721e-05,20
fold_10_202210_202303,0.0005281938216005018,0.0005340960361396692,5.174362623044751e-05,5.3533292167914134e-05,14
fold_11_202301_202306,0.0005311984986769271,0.0005354833647497464,4.991571053817651e-05,5.4891256368457686e-05,18
fold_12_202304_202309,0.0005352637764289346,0.0005339666440166398,4.6980264455669326e-05,4.808914078352076e-05,19
fold_13_202307_202312,0.0005277333294044564,0.0005249586959507138,3.5244707591742446e-05,3.856957283742132e-05,20
fold_14_202310_202403,0.0005286524640545167,0.0005304671364482622,4.571324449244328e-05,4.769691796266997e-05,20
fold_15_202401_202406,0.0005395579803450547,0.0005353249612759051,5.6185397101393074e-05,5.3557260802703316e-05,15
fold_16_202404_202409,0.0005451000575328507,0.0005455289115214806,6.571410827351429e-05,7.535650676331828e-05,20
fold_17_202407_202412,0.0005369202434966946,0.0005643896854179659,6.210143030013288e-05,6.861053436069984e-05,20
fold_18_202410_202503,0.0005169591518812937,0.0005171280097183144,5.6053438199246576e-05,5.0940803125779466e-05,13
fold_19_202501_202506,0.000505744941588278,0.0005091622010485714,3.652468112579984e-05,4.38380230252536e-05,20
fold_20_202504_202509,0.0005087862441869235,0.0005166016912456528,4.287321290853121e-05,5.212094206212645e-05,20
fold_21_202507_202512,0.0005223768557220589,0.0005221337061206154,6.351974235958003e-05,5.86698039000781e-05,20
