fdr_q,transaction_cost_bps,hmm_regime_at_test_start,avg_net_sharpe,avg_net_total_return,avg_max_drawdown,folds
0.1,0,high_vol_at_test_start,0.1215123200811228,0.0002924015855556128,-0.002111493245453544,5
0.1,0,low_vol_at_test_start,0.8836862019396364,0.003747467459810881,-0.0023237599297130235,16
0.1,5,high_vol_at_test_start,-0.09517276931540687,-0.00015396306185715413,-0.0023097481046581827,5
0.1,5,low_vol_at_test_start,0.5746703897847171,0.003012301350574474,-0.0025531109723191114,16
0.1,10,high_vol_at_test_start,-0.31026673726522463,-0.0006007497443750731,-0.0025088695674683192,5
0.1,10,low_vol_at_test_start,0.29603248923518805,0.0022568325663941333,-0.0028408294183943014,16
0.1,25,high_vol_at_test_start,-0.9257765832784967,-0.0019438815833502155,-0.0031461336810228112,5
0.1,25,low_vol_at_test_start,-0.39051191799667645,-5.801936259502982e-05,-0.0038645218033814543,16
0.2,0,high_vol_at_test_start,0.31060520540437053,0.0006741154273452454,-0.002529983584850626,4
0.2,0,low_vol_at_test_start,1.1270210023598322,0.004940354135200588,-0.0022331008080540005,16
0.2,5,high_vol_at_test_start,-0.004697462035450313,-0.0001008482352169715,-0.00285268280505091,4
0.2,5,low_vol_at_test_start,0.8194760964806922,0.004064967182993512,-0.0024739731969901646,16
0.2,10,high_vol_at_test_start,-0.3400043166051843,-0.000876500913464473,-0.0031820021932111586,4
0.2,10,low_vol_at_test_start,0.5329595181848039,0.0031746414981402155,-0.0027753504383080246,16
0.2,25,high_vol_at_test_start,-1.3865490146232011,-0.0033018702867093352,-0.004589461426418556,4
0.2,25,low_vol_at_test_start,-0.2167892632857031,0.0005067636353240021,-0.003846671796691528,16
