fold,fdr_q,hmm_regime_at_test_start,test_start,test_end
fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31
fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31
fold_03_202101_202106,0.2,low_vol_at_test_start,2021-01-01,2021-06-30
fold_04_202104_202109,0.2,low_vol_at_test_start,2021-04-01,2021-09-30
fold_05_202107_202112,0.2,low_vol_at_test_start,2021-07-01,2021-12-31
fold_06_202110_202203,0.2,low_vol_at_test_start,2021-10-01,2022-03-31
fold_07_202201_202206,0.2,low_vol_at_test_start,2022-01-01,2022-06-30
fold_08_202204_202209,0.2,high_vol_at_test_start,2022-04-01,2022-09-30
fold_09_202207_202212,0.2,high_vol_at_test_start,2022-07-01,2022-12-31
fold_10_202210_202303,0.2,high_vol_at_test_start,2022-10-01,2023-03-31
fold_11_202301_202306,0.2,high_vol_at_test_start,2023-01-01,2023-06-30
fold_12_202304_202309,0.2,low_vol_at_test_start,2023-04-01,2023-09-30
fold_13_202307_202312,0.2,low_vol_at_test_start,2023-07-01,2023-12-31
fold_14_202310_202403,0.2,low_vol_at_test_start,2023-10-01,2024-03-31
fold_15_202401_202406,0.2,low_vol_at_test_start,2024-01-01,2024-06-30
fold_16_202404_202409,0.2,low_vol_at_test_start,2024-04-01,2024-09-30
fold_17_202407_202412,0.2,low_vol_at_test_start,2024-07-01,2024-12-31
fold_18_202410_202503,0.2,low_vol_at_test_start,2024-10-01,2025-03-31
fold_19_202501_202506,0.2,low_vol_at_test_start,2025-01-01,2025-06-30
fold_20_202504_202509,0.2,low_vol_at_test_start,2025-04-01,2025-09-30
fold_21_202507_202512,0.2,low_vol_at_test_start,2025-07-01,2025-12-31
fold_01_202007_202012,0.1,high_vol_at_test_start,2020-07-01,2020-12-31
fold_02_202010_202103,0.1,low_vol_at_test_start,2020-10-01,2021-03-31
fold_03_202101_202106,0.1,low_vol_at_test_start,2021-01-01,2021-06-30
fold_04_202104_202109,0.1,low_vol_at_test_start,2021-04-01,2021-09-30
fold_05_202107_202112,0.1,low_vol_at_test_start,2021-07-01,2021-12-31
fold_06_202110_202203,0.1,low_vol_at_test_start,2021-10-01,2022-03-31
fold_07_202201_202206,0.1,low_vol_at_test_start,2022-01-01,2022-06-30
fold_08_202204_202209,0.1,high_vol_at_test_start,2022-04-01,2022-09-30
fold_09_202207_202212,0.1,high_vol_at_test_start,2022-07-01,2022-12-31
fold_10_202210_202303,0.1,high_vol_at_test_start,2022-10-01,2023-03-31
fold_11_202301_202306,0.1,high_vol_at_test_start,2023-01-01,2023-06-30
fold_12_202304_202309,0.1,low_vol_at_test_start,2023-04-01,2023-09-30
fold_13_202307_202312,0.1,low_vol_at_test_start,2023-07-01,2023-12-31
fold_14_202310_202403,0.1,low_vol_at_test_start,2023-10-01,2024-03-31
fold_15_202401_202406,0.1,low_vol_at_test_start,2024-01-01,2024-06-30
fold_16_202404_202409,0.1,low_vol_at_test_start,2024-04-01,2024-09-30
fold_17_202407_202412,0.1,low_vol_at_test_start,2024-07-01,2024-12-31
fold_18_202410_202503,0.1,low_vol_at_test_start,2024-10-01,2025-03-31
fold_19_202501_202506,0.1,low_vol_at_test_start,2025-01-01,2025-06-30
fold_20_202504_202509,0.1,low_vol_at_test_start,2025-04-01,2025-09-30
fold_21_202507_202512,0.1,low_vol_at_test_start,2025-07-01,2025-12-31
